Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,17.371,10.352,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_1,4.523,10.607,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_2,7.342,12.627,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_3,3.406,1.757,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_4,15.821,1.608,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_5,13.075,2.609,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_6,6.251,7.965,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_7,2.431,16.330,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_8,11.648,3.754,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
0,drone_9,4.114,17.781,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
1,drone_0,17.471,10.252,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
1,drone_1,4.623,10.507,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
1,drone_2,7.413,12.527,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
1,drone_3,3.506,1.657,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
1,drone_4,15.721,1.708,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
1,drone_5,12.975,2.678,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
1,drone_6,6.151,8.065,10.603,3.335,"15.129472683084275,11.759241319897868,2.470451280199424;6.764874307759529,7.1207787601418175,0.8297456008531028;16.783567428021097,15.496516066631823,2.040338663821703;10.043169074888862,8.460671725395004,0.4756347212403376;18.305070951909652,0.5878888806537124,0.23447716111549757;8.227183751357725,14.723201117028154,1.2999465939210433;8.559565836686824,11.146396387423266,0.9323225707930624;6.707035299589022,11.552272746806802,0.3267862291707238;10.136300594589486,17.551668489148984,0.9873661765071979;9.894601237386276,12.334985078385493,1.0866787540088199;3.242383221128708,12.029615529504278,0.31550374067651693;2.283888168088134,3.643459529466358,1.98432122978077;1.0074258368333353,5.017455736915198,0.45494020773516586;11.920883463432986,12.960292986137322,2.047449072740412;2.7780420735691065,10.732769698470632,0.9209674778041126;1.0820621815370002,9.633908610649945,0.4168298636584634"
