Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,15.318,14.618,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_1,8.665,5.539,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_2,13.179,15.315,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_3,14.042,1.472,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_4,6.005,3.020,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_5,14.189,11.287,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_6,1.312,15.532,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_7,5.982,6.229,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_8,6.873,5.154,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
0,drone_9,7.717,5.661,16.504,10.626,"11.14988801209442,10.779575741137805,0.8178818138253395;8.044857825172832,3.0869571457549227,1.1102435793189698;18.973979548287645,6.236381885226091,0.824875265595368;9.801633442528974,10.493600143330315,0.6653321238049665;2.9805405791530366,11.560079010456965,0.3696267380431219;0.9032197722702154,16.926338981538557,0.37979622524021883;1.055067682356456,9.31111648376115,0.3496693325964867;5.807492625145752,14.957418981150395,0.46801978342072337;9.562862113339042,0.41799656523790923,0.3386576809618804;17.05517638737625,6.432832921346262,2.0827451114504;15.249873843793495,6.3779907382628505,2.2535092279917355;1.0683499072990974,3.2191119088438453,0.7853784348832511;11.170997508194066,2.891897100212626,0.4205555136040229;15.185907867493107,16.245739664424196,0.985878438351194;4.026676816797695,10.007179080198236,0.4553204804094162;3.8904193181907982,7.894285405910264,1.1159122276924753;9.262828094586936,13.935762135806655,1.9732016211892711;3.2180346045153243,8.00153505858086,2.476329229289042"
