Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.678,14.776,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_1,2.105,3.245,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_2,17.166,10.695,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_3,17.255,4.268,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_4,17.633,3.873,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_5,12.992,1.773,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_6,2.254,15.021,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_7,10.511,15.783,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_8,18.504,13.034,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
0,drone_9,10.868,1.933,8.298,15.400,"5.103196222914849,13.571839922239064,1.0145659628460593;11.299011134752979,9.484533834348655,0.8613979791552033;6.603145527873589,5.210353663728915,0.6253079975749751;2.508465475109592,17.337445425170525,0.4861586098449673;13.854730992001695,7.774971311674159,2.1866556623605304;18.86173553403065,18.007964712938772,0.8321144267833995;9.345765755949305,7.678845572139699,0.33162624541240415;14.705589541022665,7.8181981133735405,0.4046408733532768;13.99585567370917,9.37845423716623,2.337550692684012;6.836535661110478,7.346457861717864,2.496048638311875;10.220742952655607,5.540636039455617,0.9477009967091092;8.292398178803678,2.4942234162576247,0.23087161990933486;13.075591448421196,12.834202858819323,1.9496174851364523;16.012033510775105,3.7559498785285554,0.24520923155985386;16.44040593870196,16.635717865708788,1.2367965034697739"
