Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.879,5.681,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_1,4.570,7.445,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_2,1.994,5.270,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_3,4.275,6.560,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_4,4.355,4.687,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_5,3.292,6.045,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_6,4.649,5.651,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_7,3.719,7.308,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_8,2.351,7.582,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
0,drone_9,3.221,5.063,17.529,1.571,"5.834653585905064,2.1427342242658796,0.2668968658891897;17.456103564600514,10.047894294917494,0.8948916505713275;6.849345949002789,15.71328304437729,1.8337435062157499;15.842404209943671,12.925279318430821,0.41100412598148706;0.839450745631779,13.243846021004172,0.3060169202126766;2.6336637322405982,10.25769886255353,0.26489618367040363;6.437192262587594,11.410052658072603,0.3302023423438514;4.151134733597924,15.21454229711776,0.2158475989126235;19.214373552100326,9.069694027098224,0.4160865243086185;12.138849723189441,16.854898598469184,0.49213464816223634;2.2493941465306033,18.056803570677253,0.808680585542422;18.687995033278625,8.779934592718863,0.20424327767820397;2.205502234456475,17.916608276978092,0.22786242090309797;15.350615654502947,13.724182588336669,2.3542808913539646;4.855624079127584,17.726290617713403,0.34294581035305804;11.763071883711879,2.632199672225211,0.2320774593796697;12.352577021045636,2.1147344665358387,1.269623808809023;12.092282604283964,8.663837531702406,1.0845126424308884;12.458974778307859,3.015943804531223,0.7846986410079083;4.901840804404132,15.841319379229494,1.1493796360279056;17.468603854763842,15.940587546420673,1.855627907473632;15.575013265371238,10.524615365415894,1.100443376962478;12.132002117633615,13.977650042148914,0.36400490683579123;0.8716741747705461,6.983849990372057,0.768646401899297;0.39186598521066157,5.136203000317105,0.281962294180105;9.076320557070831,18.170971693677487,1.2723168286074191;4.93983150802495,13.25155319630374,2.23687943540334"
