Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,2.916,10.888,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_1,6.536,10.777,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_2,5.219,18.784,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_3,8.305,7.882,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_4,17.160,18.003,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_5,8.385,2.646,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_6,5.021,10.538,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_7,9.909,7.233,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_8,4.991,18.072,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
0,drone_9,18.857,16.103,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
1,drone_0,3.016,10.988,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
1,drone_1,6.436,10.877,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
1,drone_2,5.319,18.684,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
1,drone_3,8.405,7.982,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
1,drone_4,17.060,17.903,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
1,drone_5,8.485,2.746,14.208,10.617,"11.222730417115352,1.4720297650269367,1.1122346151833384;12.483399145479995,15.194896845977771,0.38680237258448946;9.021550525187225,13.78101559571118,1.5580115358111244;10.703688482092744,16.974509787315544,1.0038320774383545;6.453397215960763,3.461829216793292,1.1879581600933986;3.4390788135048407,14.706838695851062,2.4305388952345997;12.8389730835067,2.5405120816177376,0.8863573795539204;6.814669966341229,1.4253755408668658,1.355786523783073;8.112527711478954,10.145092777607903,0.620838606037453;8.514709899561764,10.966796048136697,1.7131278626313626;8.075546391932612,3.861118438585861,0.22089083993673186;17.593906033677513,3.85833553244544,2.386915124868257;14.980944027677165,6.202806500936947,1.7433855804494627"
