Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,9.776,15.950,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_1,9.832,17.576,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_2,8.708,17.321,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_3,11.010,15.671,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_4,9.248,16.616,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_5,10.436,15.844,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_6,9.509,18.261,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_7,8.404,16.106,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_8,8.750,17.991,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
0,drone_9,9.934,16.818,10.931,4.058,"1.2913591171466012,7.783322271655319,1.0789636347267795;12.840467273549622,17.98977337239619,0.2709385742473739;2.2810790547764395,1.750374464213615,0.6929717684424364;14.560504079413294,1.2798386502382686,0.9033907156986785;5.029700643912104,9.72842610045201,1.2136624155239972;7.5283156112615846,11.773941259680747,0.4211471265066261;2.2528516200930544,13.16814412254161,0.43260702668485607;15.60929573359456,6.845601219906586,0.971539393398619;14.950601078693339,17.783159737361935,0.9632437111273262;0.28089350168407273,1.204128015199114,0.2024626983716446;12.201505830665267,11.059633482756821,0.35592668198953403;15.592674360839595,11.131974674774844,1.1616902326877914;15.832436825578064,16.817161334886183,0.3692294325174815;6.1266766505674815,8.293025962189395,0.46383309061739075;11.58402501620713,7.156392144474889,0.7792300184114754;12.479533472275653,7.626274580894949,0.20736096245849817;4.3017833658527795,18.39088845894741,0.24270418050494802;4.087103170381569,14.960622565545874,0.9668481266371002;1.722207348201655,4.231377506605958,0.334325164181304;8.388714206795525,1.1591984872016912,0.21776975827707679;10.184261810226387,18.88920090043605,0.6398925022896924;1.8564559010803534,15.803234519950067,1.3700813042930033;1.4805150260828055,18.809003220326346,0.39229819765596713;4.567770229435902,14.295671951755963,0.2255849915636605;16.442328874375164,16.661539485144136,0.9226299200188033;9.623612418183418,10.671282206880123,0.3842624527852231;17.98710506271617,17.30690840658381,0.40245535297873625;8.296220073312746,18.432591547877095,0.33290363203277085;9.328139776087461,1.169847519698294,0.4393081959043237;12.641753436485818,8.137228670682985,2.257297959922224;0.47989198671901795,3.772329299975371,0.4730233662860751;11.902812517267176,17.760405405271726,1.8482356375968796;9.67291326554448,13.254435522111208,1.1191054668525124;4.364315713701747,9.540182585070317,0.6642850136210694;16.80526028058903,1.7398110253825039,0.404953241505927;15.471159849937456,6.68235413713115,1.947164406953469"
