Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,9.545,9.694,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_1,10.858,10.566,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_2,9.551,10.939,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_3,10.987,11.195,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_4,8.658,8.649,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_5,9.084,10.212,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_6,10.168,10.999,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_7,8.509,9.771,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_8,10.182,9.632,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
0,drone_9,11.156,9.897,17.496,13.668,"7.56827770678734,11.883856559981668,1.5751623958079581;5.363491088515193,12.373050332420442,2.011596037100052;10.253091860415136,5.2542127239217775,0.3330596727857586;17.117780891981166,6.091859758614732,1.2052075963007132;12.95525247772938,10.680545735590416,1.7664709731799708;15.151102172637863,12.380876812433604,0.33689734043413894;2.1509116791220846,8.117207692833809,0.39594294184403733;16.43714366939264,7.633326450704378,0.3825846079665503;2.2803514213951614,17.47387226392952,0.8194242333914367;9.068118409139478,14.86563136073933,1.2224519618698653;11.398029340443866,4.880702364972217,1.083819207627656;9.727354547025051,19.198217226014556,0.4399591233983926;17.25217474225574,1.9255411082247231,0.2990124632791511;12.083323705960202,7.601943999231738,0.7915377386514992;18.034573846745193,7.7065276214285365,0.46033241823772086;5.32952077509794,17.464590310556996,1.639755363141009;1.2987459080606905,12.132770369871936,0.22639012598584074;6.206252710757533,15.918935986487115,0.3905196010131189;7.1459128515327315,15.123301799765724,0.26365613727062914;1.5676655199517027,11.939546655826806,1.3500527192025567;8.647141977497713,15.3925359383605,2.2065933765234624;3.580595767412333,8.148634882165714,0.4091319261941657;11.111976947213508,12.332733464536958,0.7921201343286872;2.9251121865881755,17.202156074284627,1.1519177629611645;18.354045234125568,17.550163323602497,0.6629445635377187;9.116407656276829,16.1121337495548,1.2449355420913677;9.525605610327363,8.906645636361601,0.4557946331526226;10.755701072051508,8.290189302428306,1.226864058126786;4.6357520393624,7.137360733042685,1.0333724339820782;8.329091206919369,3.980312159452979,0.2183439780896078;9.293398003025487,15.055603262115344,2.4690107551206397;2.03685236348988,16.041596882262233,0.4904787073112978;2.5110634879006293,5.9654867524496265,0.8999195032649321;14.79944001063244,2.617113728868114,0.9183332145234353;0.47866705132395365,11.9523026302195,0.24494176201490275;10.751654016146492,6.423381466058235,1.1321395717871945;13.512315696231608,7.648747223440186,1.348468893219509;13.784588636403852,10.392367735544191,1.3315719762232767"
