Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,4.0030,2.2040,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_1,2.1580,3.7089,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_2,3.5082,3.4018,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_3,3.9461,3.0305,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_4,3.1920,4.5639,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_5,3.4306,2.2927,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_6,4.0132,4.6086,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_7,3.1848,4.5968,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_8,4.2683,2.7098,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
0,drone_9,2.3148,3.7845,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_0,4.0427,2.1911,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_1,-100.0000,-100.0000,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_2,3.5526,3.4468,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_3,3.9781,3.0647,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_4,-100.0000,-100.0000,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_5,3.4164,2.2994,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_6,4.0889,4.6401,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_7,-100.0000,-100.0000,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
1,drone_8,4.3248,2.7193,17.0000,17.0000,"9.410,14.851,0.600;13.521,10.185,0.581;9.794,12.151,0.735;13.533,10.528,0.526;10.247,12.465,0.836;7.234,10.179,0.667;5.302,9.063,1.365"
