Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.6096,3.9385,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_1,4.9878,2.3043,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_2,3.8280,3.8023,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_3,3.7201,4.6474,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_4,2.9369,4.3795,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_5,4.3786,3.1677,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_6,2.4134,3.9842,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_7,3.6478,4.5172,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_8,4.5047,4.3963,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
0,drone_9,2.6599,4.8886,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_0,-100.0000,-100.0000,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_1,5.0504,2.3402,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_2,-100.0000,-100.0000,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_3,-100.0000,-100.0000,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_4,2.9593,4.3983,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_5,4.4439,3.1897,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_6,2.4170,3.9943,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_7,-100.0000,-100.0000,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
