Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,9.1175,5.7099,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_1,8.2356,5.0410,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_2,6.8895,6.0724,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_3,6.9637,7.0386,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_4,7.6291,5.5899,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_5,7.8394,6.9742,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_6,8.2570,6.1151,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_7,8.9629,7.1215,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_8,9.0717,4.8877,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
0,drone_9,6.9111,4.9848,17.0000,17.0000,"14.057,13.058,0.264;2.179,18.647,0.305;6.677,17.828,1.089;17.539,4.993,0.460;5.680,15.418,0.646;10.597,3.251,0.423;14.326,9.586,0.796;4.817,11.707,1.621;9.750,3.111,0.254;5.948,8.621,0.368;10.945,10.363,0.230;3.751,6.018,1.159;4.407,13.200,1.680;1.603,17.939,0.270;3.369,15.579,0.769;2.115,9.225,0.711;1.840,16.200,2.320;2.855,19.535,0.291;7.818,15.960,0.857;9.922,10.906,1.069;10.168,15.105,2.214;13.360,6.597,0.389;6.498,14.368,2.213;17.539,13.819,0.447;1.608,5.286,1.316;5.253,18.362,0.202;4.672,17.958,1.203;1.822,6.736,0.998;14.369,5.455,1.669;18.103,19.364,0.394;17.764,2.198,1.270;8.314,16.400,1.734;2.131,10.457,0.300;16.917,4.109,1.123;19.038,5.920,0.348;12.623,0.763,1.249;14.981,3.276,2.434;19.464,0.139,0.275;1.797,2.081,0.406;2.737,16.045,2.044;8.901,12.417,0.439;13.665,18.613,1.305;13.843,18.533,1.336;2.394,11.443,2.324"
