Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,7.9947,5.0178,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_1,8.2404,3.5261,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_2,6.7122,4.1653,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_3,7.0573,5.4807,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_4,8.7785,5.6758,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_5,7.5206,4.3451,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_6,8.7724,4.4543,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_7,7.2941,3.3870,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_8,9.1416,3.6091,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
0,drone_9,7.8754,5.8798,17.0000,17.0000,"5.229,16.991,0.325;16.121,12.105,0.400;10.400,8.097,1.203;2.142,17.729,0.455;5.740,15.993,0.453;13.293,19.095,0.906;3.272,8.788,0.627;1.621,7.006,0.263;16.017,6.353,0.362;12.724,19.309,0.428;4.822,11.679,0.285;10.802,4.489,0.338;17.806,4.207,0.230;11.761,1.823,1.265;10.275,16.065,0.396;4.843,5.499,0.377;7.334,9.276,0.858;3.400,6.601,0.610;14.095,11.029,0.390;2.878,13.012,0.238;1.115,9.576,0.417;13.499,8.382,1.343;1.244,10.579,2.353;17.208,3.390,2.194;7.296,8.520,1.179;6.411,15.247,0.204;10.457,14.414,0.372;5.542,17.027,0.809;9.959,1.296,0.392;17.255,7.565,0.266;0.607,2.317,0.311;2.091,8.779,1.977;12.815,12.306,1.679;18.567,10.129,0.733;11.381,8.630,0.446;11.306,17.427,0.817;0.664,8.008,0.929;5.468,0.442,0.285;15.626,2.214,1.043;19.187,5.415,0.358;9.541,12.963,0.866;8.340,7.567,0.424;4.801,17.406,0.402;19.326,11.618,0.217;16.672,5.244,0.811;12.061,14.765,0.664;4.160,6.417,0.751;16.880,5.976,0.328;6.889,7.609,0.441;5.708,12.955,0.765;14.740,19.349,0.395;19.275,10.853,1.347;1.384,4.871,0.615;1.243,3.464,0.389;6.026,10.999,0.645;19.140,9.334,0.989;17.668,0.736,0.217;11.615,16.751,1.103;19.134,17.994,0.297;2.029,10.019,2.226;3.457,0.428,0.274;9.043,10.176,1.250;15.727,11.557,0.216;9.995,18.328,0.343;9.591,19.321,0.472;18.503,13.695,1.130;18.511,4.858,1.041;8.138,14.246,0.464;12.128,2.606,0.939;18.895,19.492,0.885;3.094,17.930,1.836;14.101,2.011,1.191;18.677,2.192,1.026;1.443,13.217,0.311;14.043,4.559,1.160;13.530,1.412,0.481;13.649,6.199,0.700;13.102,4.169,0.386;3.176,16.290,1.154"
