Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,6.1424,5.1524,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_1,4.0707,4.7915,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_2,5.1311,5.0191,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_3,4.3293,3.9988,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_4,4.0701,3.1520,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_5,6.4890,4.1499,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_6,5.0603,3.2369,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_7,5.4204,4.2231,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_8,6.3339,3.2997,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
0,drone_9,4.5212,5.6344,17.0000,17.0000,"4.736,11.344,1.356;8.723,16.343,0.850;8.199,12.568,0.414;13.173,5.539,0.244;2.421,0.416,0.467;9.570,16.798,0.807;5.830,8.091,1.089;12.857,13.565,0.674;11.682,7.103,1.344;4.147,19.063,1.189;3.696,18.527,2.367;11.955,9.526,1.202;18.371,13.715,1.306;17.128,3.137,2.164;14.928,12.210,0.645;15.109,5.019,2.124;9.903,6.840,1.029;16.951,10.911,2.087;13.721,19.314,1.050;8.843,16.476,1.839;10.732,19.480,0.209;6.504,0.608,0.344;8.269,5.645,0.743;10.045,11.129,1.213;10.231,3.904,0.260;17.868,4.029,2.167;9.848,11.681,1.025;1.534,10.578,2.140;2.097,19.153,0.981;7.607,18.070,0.314;12.727,16.237,1.738;12.832,4.450,1.638"
