Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,5.8127,18.7409,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_1,8.5427,14.4873,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_2,15.2588,5.5921,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_3,17.8261,5.1736,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_4,7.6844,9.6980,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_5,2.8748,15.2881,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_6,3.8055,18.4625,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_7,12.9998,4.3003,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_8,6.1726,16.7268,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
0,drone_9,6.4580,2.6515,17.0000,17.0000,"19.594,2.273,0.358;9.990,6.728,1.293;12.607,11.108,2.429;8.611,5.970,0.369;4.048,9.310,0.367;15.321,13.453,1.014;18.062,11.624,0.303;9.687,17.125,0.261;9.899,11.750,1.272;16.772,8.577,0.907;19.203,11.966,0.684;17.193,8.501,1.145;9.631,8.019,0.241;4.256,0.909,0.347;19.093,13.232,0.691;10.170,2.481,1.243;10.096,18.731,0.278;19.369,13.262,1.198;16.333,12.754,0.691;1.125,3.433,2.087;17.087,9.381,1.656;8.494,1.401,0.409;11.432,8.807,0.425;14.941,0.774,0.651;2.801,4.153,0.661;16.150,8.452,1.100;17.815,11.693,1.349;4.716,9.470,0.693;11.181,9.795,1.736;15.331,11.962,1.043;4.809,6.035,0.284;5.377,13.026,0.883;12.069,15.419,1.349;16.943,1.624,0.751;13.210,1.059,1.395;11.362,2.865,0.236;16.265,19.307,0.398;9.176,18.725,0.315;9.786,4.829,0.465;9.634,18.281,0.605;14.586,12.906,0.621;15.137,10.183,1.567;4.863,7.595,0.280;13.357,14.986,0.676;17.439,1.087,1.160;11.673,2.109,0.227;14.150,0.820,0.919;3.076,12.894,0.601;0.818,11.240,0.612;4.459,3.860,0.398;9.171,7.587,0.864;18.965,18.280,0.304;8.887,5.252,0.259;4.609,6.115,0.357;7.681,19.739,0.236;16.271,2.040,0.445;9.189,3.232,0.489;4.150,3.690,0.255;10.943,11.034,1.798;17.691,7.473,0.203;8.063,6.942,0.414;18.282,0.256,0.403;12.911,8.314,0.824;3.589,11.077,0.440;2.418,6.217,1.244;14.657,10.917,2.105;18.031,14.163,0.959;12.585,7.019,0.620;10.951,4.909,0.285;0.286,12.543,0.468;1.571,10.514,0.347;9.962,3.738,0.326;15.209,0.289,0.364;1.877,2.627,1.964;2.130,13.025,0.708;8.833,7.195,0.943;10.027,8.873,0.658;19.391,2.138,0.977;17.625,12.682,1.073;12.863,8.799,1.236;4.034,8.258,0.913;9.275,5.124,0.665;13.553,13.475,0.634;0.793,0.433,0.216;5.870,6.504,0.733;14.315,19.436,0.455;2.699,5.766,0.900;18.855,13.610,1.622;3.862,11.791,0.964"
