Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,14.858,13.245,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_1,18.808,11.847,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_2,13.564,11.503,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_3,8.986,4.067,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_4,15.494,2.302,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_5,18.691,6.684,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_6,6.035,1.976,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_7,16.443,11.027,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_8,18.767,14.641,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
0,drone_9,18.965,1.898,5.502,12.068,"13.047412841718938,14.747799751541695,2.089724067182794;11.845738048980994,12.866707195542824,1.8930013481036405;10.092659414758597,16.397452222401338,1.3179481954607555;14.971660551982,15.651526833927978,0.8033255355511201;13.036832879410955,3.1173822318427904,0.23914526719341686;19.612484563318375,1.433339306089965,0.3075757326103109;15.658954376616972,8.399201672450697,0.348941938017044;17.356521329541778,12.036371247921812,0.9575767806710143;9.875175450740375,17.053106294321903,0.9851686781924431;5.6271735364394875,7.286365529066418,0.3113662660589902;5.114763159799574,3.2952458495047496,1.1694725889195872;14.374194454623538,15.106202613491687,0.3244152550254107;14.61774196294553,1.7221730886374407,0.7366095237829003;2.6256278926073175,7.450060159526588,0.3251106136084636;8.561844245973937,18.17202687809976,1.182863904210322;11.900080268930095,12.141699555825337,0.2857983201630401;4.2286767116191335,18.260704945267946,1.3675816871119213;2.3595128307386597,15.412804538282833,0.46293459265684106;12.748218922587542,2.0826323310000503,1.8590891242712124;1.4688899427267612,17.3129865638307,1.21664586338823;1.9634401675071245,2.9336534980416866,0.9377187363986805;9.855560306055677,8.936980082456003,1.830628054111242;14.925699281380792,17.544856274588934,0.49872659560968846;13.549630958046219,9.0081805530949,0.6531544060355168;18.840249471225167,9.712609714007273,0.3160478425142984;10.638380159356135,8.868744230651837,1.1526386590366093;14.231600254674108,12.742178970918188,0.3380725888297992;2.590711043130251,17.449950075225857,0.3796665232962268;2.573832932686209,16.99657937540962,2.1307669818282333;10.927453975808628,5.850394110620595,2.316349866489691;12.638474137424332,15.694886705106143,0.24807846062569974;11.343227668386028,17.437847885601,1.2875889047596847;15.462292206572638,11.738481144340787,0.47625331802131793;17.299889267868938,3.5434096204495464,0.4941954023488072;3.6653574030501472,6.211506175911117,1.6817631344061161"
