Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,13.956,9.830,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_1,15.178,11.447,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_2,2.929,2.071,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_3,13.717,7.169,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_4,15.505,10.889,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_5,18.280,1.760,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_6,17.384,3.608,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_7,13.191,14.115,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_8,18.303,2.956,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
0,drone_9,7.213,5.719,3.230,14.588,"16.334067813179708,9.733761114475932,0.44526872451008626;7.235889834113615,16.91802499035493,0.45963637715551303;6.811586103929392,12.121763643228414,1.850189661581668;5.947885526636645,0.85056596290633,0.2472917085714011;18.621297728262945,13.008348301722743,0.2954227479175028;12.983915170719742,18.961119742142845,0.20310375720103235;11.43669597648334,13.241751134539522,1.1658170619944968;7.798629572834052,15.809529480085857,1.3180320875202702;16.758807214089998,5.96478569440108,1.1145066912592914;13.548952012177233,4.32974837883175,2.448423202153382;14.649603725966362,16.982358943196342,1.7528374586908293;13.066348869466735,16.91699217580302,1.6482446968586195;6.6071365171754035,8.552640177785959,0.655938616475581;16.881921537011532,19.1435642550558,0.4528128522014559;5.083262168620724,12.547659942878113,0.2310553790785238;1.4030698949765266,10.618755877438499,0.3931840757310298;10.345663733001823,13.144845726155406,0.7297846586368066;14.79705971038945,14.621650867272644,0.9869679461102476;18.48103925896002,17.177326480489636,0.9735425092235422;11.32757556472091,15.368409862386981,1.3997939040220846;18.916140722608752,15.104072783760552,0.3196056934023506;10.559530075993734,14.038940051465566,1.3186031946476797;11.42864548392246,8.39195108567052,1.6199428609318147;17.03597229359211,17.5383382870366,0.4126464984240844;18.11984449860238,8.533289462752556,1.0437779375496765;5.903893171039716,9.433793352997595,0.4996443666026224;14.624860774123032,8.715021310293661,0.42489977686853264;7.381981616948222,8.182538885486528,1.0200007305418284;11.064232360703656,1.8105529825562483,1.1561408856965338;16.213413482739025,0.4161561109422337,0.33225163581154815;11.276719132950292,15.71035384374783,0.83841926516298;2.244121021225189,5.523596556550935,0.8379121666053904;19.668382666029377,14.448628950239733,0.20351970636677613;9.919567347630881,4.398888679371563,2.476719005141973;5.60539544149723,8.999542780588003,1.047195299483342;5.2820921807092756,11.433250941602116,1.3625624300530657"
