Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,2.983,9.120,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_1,2.848,8.117,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_2,17.702,1.456,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_3,3.519,10.199,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_4,18.585,1.686,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_5,3.420,10.997,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_6,1.556,10.049,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_7,8.651,14.910,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_8,1.531,13.802,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
0,drone_9,2.875,14.708,15.221,9.278,"15.251329758330863,2.5501174143065497,0.9342984795254654;13.059600410503197,3.784351128293329,0.7623273521675644;9.850541518879446,9.582722485728242,0.8209465764072236;6.67480192353878,11.863194324048237,0.864027390154127;6.206505873832912,14.920962744675872,0.20580010702695065;8.03305222985562,5.331192931343978,0.2459119469772726;4.276994515516394,16.22046148696076,0.3141655618448018;3.4820073674465215,6.54091864231351,0.7226136211132128;18.201525928577187,6.76637208752001,0.4945645989080949;8.263039126810282,10.488386781703458,2.0229998723718423;9.106972161761998,8.190074196097658,2.4405485419807977;7.259717784927245,18.484931122172156,1.079769868263126;11.240344295536987,6.535454645307261,0.2286887917827078;7.755721788380299,1.669577263544414,0.38061016329957886;11.464467661084063,14.101065885671321,0.7641310770642425;4.2377263142249015,6.714941128121139,0.38283865060185945;4.192231238130617,17.62183047403645,1.616323331920185;13.477101289804935,11.745195721283329,0.8623800144833573;17.08827710867115,15.567253705568797,0.39079112532951743;8.695073075644341,3.475104804635087,0.9450523588580976;11.520174583977825,10.133154411977646,1.0868463465777374;11.057143310924761,16.54302206203891,0.36588454148447014;7.453552377494634,9.957248413147418,1.1449412148001683;6.124998835674082,8.60609047730437,0.336693383184814;7.041769228085403,16.94940025521505,2.167501102918267;8.952969469207135,3.875463790145586,2.281262704930851;15.243996879516445,2.5646198730529344,0.25753875544147475;9.695017893263268,13.01541962828378,0.8684769669219495;15.947375552733353,17.670545561628558,0.21242963957563454;12.806385226651484,13.149484273394783,2.090313064765011;1.5605147513417081,14.707717308887716,0.23549831317338826;15.313369464693386,15.97682080886199,0.306867542914821;13.771012303824682,13.653216359013694,0.7961009172990727;4.7854755499392585,3.2550193037034902,2.179161339631456;17.32600989249555,7.2105340508797084,0.2646666694451377;17.087613640241578,5.621634496857506,0.30752077015915624;18.912541474973338,7.867772786871809,0.9873658943069638"
