Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,10.798,8.274,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_1,12.593,8.418,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_2,11.086,10.581,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_3,11.928,11.067,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_4,11.294,9.517,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_5,11.908,9.566,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_6,12.140,9.010,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_7,11.904,10.221,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_8,11.264,8.877,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
0,drone_9,11.754,8.358,3.519,4.319,"18.20074514553268,4.483661030554739,1.0359730268923437;14.140323838684889,5.535269550375986,2.1137553650264436;13.134955088636445,10.803674913742217,0.36389590059395405;10.53242782387989,7.444073305631154,0.6077729260800925;15.294049556929878,1.4873207940128972,0.42827006017319447;3.9824382270546494,14.441168449062902,1.3365470635600918;0.9763071237209369,11.290015006451146,0.2293101480403677;0.4884271063776811,2.4160424734995862,0.4574934996154317;11.048884347348546,4.5569546044793094,1.293406946262295;7.602009097870374,12.103348496795805,2.4598415234064266;15.229739820320837,17.02329845774012,1.2627467407405204;14.282503296560346,3.2933238513888194,1.2000827425184535;5.055014027456428,19.085587772852275,0.3021909643446109;9.57723316223322,15.5510723076338,0.35238965797314104;7.804342326024242,14.055738485030473,1.1575342536779574;12.722559274064842,4.568861408392779,0.26998402344782635;1.6075531911395913,14.42182947576109,1.0628136777831336;15.12735009677471,3.151012197933011,0.40627434830703857;7.132632187890066,19.1496574765152,0.4940323935346392;6.076658103747063,4.1162108098447705,0.37426121174740723;14.786813997575374,14.893917720701857,0.66165116977054;16.83916894885078,15.016711170800809,0.8821464057455637;0.5870105786052977,8.340124859363602,0.33233149103216375;14.770095593374808,10.126999223010161,2.295540438827351;16.755880973822297,8.410222498885696,0.8939593208243687;3.5542118119762627,8.880824258393723,0.26487052247262666;3.670692816951768,14.234968828429388,0.7353936157415539;15.159127967725022,5.219500679133822,0.8343225678251983;3.8334033459344736,14.177209971855447,1.3098794565430127;8.015877311074126,12.373705205156831,2.491227202271529;6.142472651894438,6.327787914024239,0.3760349262915922;9.57355163639025,9.024285120254888,1.1086264087075253;15.884808110595241,8.647863819578957,2.250492323240881"
