Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,13.759,14.108,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_1,11.815,13.888,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_2,12.377,14.351,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_3,13.008,15.028,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_4,14.156,15.140,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_5,12.731,15.600,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_6,11.742,13.272,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_7,12.999,13.907,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_8,14.342,15.842,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
0,drone_9,14.067,13.456,6.130,6.418,"8.652479617496395,3.109075252609326,1.73133526269224;18.21975664909832,12.594651867384602,0.2845995495880952;2.602716298540411,9.209602673421841,1.10522046609552;7.0813381009488,12.974801279535095,1.5427427880853757;11.367308424104133,17.640839686257856,1.7332603136299984;14.81355003426952,18.669682685390562,0.36692254649817246;16.344955685486422,7.704204205081584,1.7277493249969251;3.428803983269788,10.204160131838734,0.9190324149730946;12.01672127777885,7.423938267198553,0.8518670034750856;12.34186413182492,8.662114934654356,0.23094738001350654;10.840937381439185,16.175982754835264,0.6190414155435459;9.398460415260969,11.626070268683868,1.2494839272772142;4.466726565655126,9.561246121954005,0.8908140675636356;13.529780951697571,6.552338603710868,1.7912399983760672;2.6551943444261608,4.302575734883886,1.366983875999792;6.412547354664784,3.6335814051372077,0.4002423615914783;17.1420347018762,7.737691278541337,0.2811130913708004;11.64796660935991,3.2496707335022377,1.1522229639286385;8.274944004721027,1.9225003767507647,0.47327611440040396;10.932300773907738,9.843685205196538,0.4137408955213496;1.2808358062797742,12.39701301706403,0.3660769443099834;4.894265619740378,12.518853780915254,0.8088401009076136;16.5340839705044,13.874330374966654,0.35570552182651105;9.411041540784668,13.716045044453308,1.3951905664635753;13.61548977942784,3.9087867358379067,0.8219067586088397;6.943501155839695,14.360175651675405,0.36747404638844094;7.171344282985245,1.1038685590541588,0.6804577556549548;14.173337012533676,2.1999013388950788,2.1105988994858675;10.289604016042267,12.852925263007021,0.43651056561412416;12.883569469056173,6.761700754770713,2.209602877785528;13.614275866939128,16.558852538029253,0.6832667481413911;19.496529826701117,4.34493000177166,0.2561547264957851;12.893744429910907,9.488592844154635,2.3260656962032784;8.823367443170781,16.92341193404593,1.3345117062442338"
