Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,13.851,5.746,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_1,14.862,6.548,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_2,14.771,5.473,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_3,15.612,5.569,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_4,14.149,6.335,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_5,15.605,6.674,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_6,13.619,7.063,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_7,15.747,7.517,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_8,14.237,5.190,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
0,drone_9,14.829,7.164,5.275,13.110,"13.375875035755664,15.445629121745243,0.6804397449503153;4.7645450951749,8.455006212705374,1.29259749795099;14.976180708757406,1.6123439644065327,0.2911348933952169;10.674367281227306,3.2852409807970275,0.9005255410295323;11.28024756262993,16.88639193556852,2.3186894207658244;10.95268244051139,12.538405079097785,2.4120720354316103;7.335162155102545,9.622938540353886,0.2914479732852443;12.488738601538733,6.219857476065542,1.2053897980366486;7.954725672384597,9.247153993043941,0.24472300272434452;11.654688837196094,3.306936334821788,0.7499458442172752;3.0317261089080363,18.122020102773263,0.8751826841724475;7.324243505754359,15.429965200660925,0.34192796011704873;1.8556088789709029,9.787748861401038,0.6979108921405809;16.789954467657527,9.165105744603693,0.22630107422642132;12.149969239909353,5.749076251599828,1.00690783230817;8.646113954816634,12.312434641678117,0.8561523060698706;15.096437338980275,14.575719971851187,0.45913862037679;14.281209508705473,9.16361611099657,1.887286366316947;4.771062812548143,1.196044743094804,0.331597383633358;18.050420043304296,13.65236465339294,0.24138452809497243;6.7133599591634034,7.895830952627941,1.1249548680596586;17.64246125679734,1.0705281160364306,0.7606611425796914;18.390734432916098,18.35776583666888,1.2430004978705362;15.260355195852416,2.5487588246815407,1.9861102729723994;11.718783193237613,2.606340783045849,0.7706847405127308;13.70453513611529,2.7376376019200515,0.49092411238157324;3.3264692260271245,7.407475518361371,0.33264124801367223;16.128436634090047,1.407954822189353,1.1713822318129927;17.625743213467413,12.660093184302303,1.157716995145957;0.4194517666938293,16.432247985302475,0.38065993663570663;4.8717584670601495,4.200385471483838,1.5019027219675332;5.269910763093039,3.2752685852941132,1.0076546370329056;1.9960028617553223,1.7005056775652658,0.2797236263852481;17.051737856522376,3.167147208320149,1.1316408565557734;9.338161705734073,3.0540231179597237,2.2294369468323927;9.596279096516877,7.926518951245222,1.818719806746459"
