Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,11.773,5.898,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_1,12.721,6.658,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_2,11.185,4.560,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_3,12.364,6.130,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_4,10.204,5.494,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_5,11.362,5.285,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_6,12.236,4.748,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_7,11.939,7.081,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_8,10.723,7.086,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
0,drone_9,11.380,6.808,14.645,13.612,"7.9851637189802975,6.419156215695512,1.8687915693255062;9.049784588215369,17.578817881045858,2.3275226535749036;8.332646302631849,6.4354485581832765,1.8116330949130384;17.22231554979264,4.779758156208208,0.8535602196686367;8.187751586710398,10.512018141288141,1.0285134222956585;16.167246131379613,3.6020822043876812,0.2312385091703562;15.709878340053008,17.57700357381369,1.1424237899618022;14.58519373349628,17.052480395132832,0.88336450551233;14.875508908302752,5.596908080118535,1.2101791551397367;3.411707039635421,13.333734498659839,1.6358937818070207;5.330632978380235,8.180820836395673,1.9414993333378319;0.6624517199042663,17.63238037941504,0.2429152918883687;7.007085581336,13.853573623708343,0.3484152714929542;2.303567484124867,6.414338016228081,1.8135150720161226;11.681525014344366,8.642442615856476,0.3885918491798874;13.15308596908118,8.656228505900001,1.3541644350256592;7.8319008187477746,6.463332377201544,2.2100956814155284;3.784617557107233,7.272398550111147,2.4312767503495025;6.8680988498432995,6.821423716166324,1.7534019525469646;2.7791897818652975,8.459864662854702,1.384738717602137"
