Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,6.532,13.541,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_1,6.055,18.907,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_2,3.569,12.335,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_3,4.771,16.378,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_4,1.109,13.301,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_5,17.817,6.530,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_6,18.867,4.014,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_7,9.755,16.089,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_8,17.690,5.092,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
0,drone_9,1.116,6.686,9.048,2.986,"5.845378496791282,4.463635909986895,0.7912691502790161;17.264774795064163,12.898189270788881,0.4907960518259313;16.48977408738889,17.44035075467345,1.5578766643627633;2.7857445435034522,14.111576304659458,0.24929036162129115;16.904635596297013,16.97665101266107,0.9282196159582647;9.76960576530076,6.205063079069738,0.8195609060903511;14.019108429625621,12.899668816435472,1.9887822476195334;2.49356838887414,2.6535646380122992,0.38308396882303897;14.689809478166485,13.322867511698506,0.2641267288946213;2.2595236738246673,8.479884116900754,0.8586882280172387;11.809467184005996,13.770015566152573,0.33324416151280584;18.224755564676133,15.63576048748744,0.42518773850067804;5.981474268424791,9.776951320119311,0.9843583180815922;18.56596099005617,10.689295690038547,0.2878110107912163;8.192364304980114,9.21612926841778,0.21620780017074065;18.434019193470473,13.582497994730607,0.23696918104301906;11.566447809931203,8.295065450110355,0.9572130259131995;8.992822014341835,15.131214413591602,0.7103849240227952;17.568021762383935,11.674117871483118,1.0896071429045668;8.28946390505962,7.843624957347951,1.5491322455952046;4.497310192207593,14.966390903418352,0.9166921006035927;15.948923945944173,6.692545565591431,0.2626792753702416;2.892514239021226,14.25437287457398,0.41830210245773336;11.224789816478845,13.572409132005276,2.0161774366183676;7.087855031292809,13.967441237835523,0.42728499750282356;5.190315261508271,17.119406003690443,0.6789715096293325;9.595371457314469,8.668888590289532,0.25450027537359854;13.931788203483837,14.436004314019375,2.0483841517876504;2.6494527797008516,14.478150749174482,1.2061547892401694;8.669387267453715,10.465637189935565,0.27566219767610023;10.026908728967328,13.08136338047607,0.9816512217581801;15.333093173222153,8.352090059517217,1.0779739282411902;1.2669516298577765,17.983045121643578,1.1123982276007371;12.000027367438852,1.1390440891115357,0.3231964453498265;3.8756477945446974,18.666465811619066,1.0275060902734583;18.723836356752493,14.16583649142591,1.0155010563793556;3.9566141521391467,6.533522135516075,0.3992329857488629;17.809937184666556,17.139567642631324,1.2904317861705439;3.681844734992461,16.035236586444025,0.40502540809308424;8.04582654063212,16.796204297089425,1.0474439912982039;9.429779620588876,17.569760329707332,0.3354495951557079;5.281587240099389,8.866573270013511,2.334872298179442;14.214303521723764,17.96427423045357,1.854641721862812"
