Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,4.130,3.654,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_1,9.749,18.714,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_2,1.809,18.432,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_3,12.206,17.703,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_4,11.485,18.807,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_5,14.380,3.545,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_6,1.552,10.030,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_7,2.082,17.759,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_8,1.187,6.920,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
0,drone_9,4.858,9.535,17.601,11.329,"6.737997806264513,17.771090884487634,1.2658279228939928;8.302858921857867,2.238830663311998,0.285317112104824;3.563296141894797,16.247281419080654,1.3501039475892211;5.145868288931685,11.117712768643575,0.9300658804446266;14.77366789766028,3.2086616504568113,0.23954569153593397;11.079142949543298,10.835680236012205,0.7402886953598183;5.420848182851865,17.656218526842416,2.080165645755899;18.675403837957486,19.23697076188144,0.49112613795561305;9.751073241884932,16.17045074049356,1.9419307436289588;11.51789068563069,11.977091915482585,2.060515132016027;16.221186083353675,4.664619550604147,0.740795077017036;14.951357336105385,13.555002122801067,0.6367959675360373;16.56525685202781,4.933095551696451,1.5390202432503979;16.305232135801052,2.169364282400341,1.5634761415730378;2.4572999209774933,14.420366783122585,1.0922115515582116;3.327287571754063,11.366630053097595,1.8456402854251794;9.401358508663005,17.079449637089674,0.46567909145002734;18.2800321613553,18.25917515454148,0.6352449805709236;5.275984414024758,5.9144968389071595,0.2647856924991425;14.412442675550711,6.315199053105378,2.2747269253941225;17.783542582263998,7.2128512292517355,2.037208577100129;12.75193974241668,12.6730100888095,0.30294100113634725;16.882711571800005,7.9273982007324095,0.7419844182604706;6.929862815303945,13.511856366063299,2.1054553072761655;13.448867381190398,15.123141336529462,0.30418381765426344;15.01774167222413,5.40731898407402,1.753122371876692"
