Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,5.948,4.222,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_1,10.886,7.324,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_2,10.430,5.353,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_3,12.525,1.037,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_4,11.941,10.608,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_5,8.879,7.534,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_6,15.655,14.603,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_7,4.895,1.114,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_8,1.358,6.347,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
0,drone_9,11.758,8.069,2.627,16.201,"8.010995959551572,16.080089603761742,0.4528237250327602;5.120088354214926,6.551869136657831,1.916280616261951;13.158672740752099,7.949020842652418,0.3194947635011824;15.305654170316064,6.007557229777398,2.3682195934513164;17.62765437169253,7.291457587265348,0.4042923655226277;18.347344388345228,13.020368275283845,0.8216063805746834;2.9284920495741322,5.636686339124296,1.1562929705135647;5.86020760162326,12.357941395587547,0.4980263828487761;6.518000186350678,10.98118670731316,1.8844687045763373;4.448598560257822,0.6763640825703103,0.35549217802995425;6.736601284709407,16.94208887410391,1.8763802515922987;15.374585348310763,18.317878429794156,0.4791352433692517;5.900284414945926,14.633564344825997,0.6946003729987669;15.247351911507529,3.427607804605685,2.021308392689606;2.0113611606778643,2.2563110842909744,1.0886863405788223;7.997481041791029,15.669029446487102,2.358202993855733;17.996927303031857,12.642417293680074,0.778869551006711;2.7498579208406255,5.164944900323112,0.31080636341657764;19.243577828429853,1.5327219062523614,0.33311635927342165;12.954509807273467,13.898476728044539,2.4798366839125014;8.831979296750195,1.4970726879027927,0.46888940705197407;14.667937358735422,18.000032681131458,0.2116370455729995;3.2258642077851154,8.985124525034779,0.6165988678300188;8.271059726423445,3.8995833145902763,0.41809493789665175;17.664339384956445,5.673239005514766,1.2749760526988543;12.70863959159036,13.310254588025893,0.9410480943653161;16.41182516263928,17.500011727329,2.102774935740883"
