Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,2.617,13.047,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_1,3.041,16.831,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_2,4.821,15.773,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_3,5.557,13.427,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_4,17.881,18.486,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_5,17.644,11.186,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_6,2.237,4.840,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_7,3.913,15.016,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_8,17.536,14.754,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
0,drone_9,2.315,4.687,10.718,3.214,"14.593906637221457,16.794723384366705,0.335448277891057;12.316990463633491,6.887857193963292,1.941006369576971;6.803963106545368,5.492907595905773,2.2790459535273397;4.478571923722768,11.595069845447677,1.728490659194613;11.874486292584693,13.558953203465668,0.33989969779829343;11.579297288100907,17.70277472096198,0.6507998154264547;13.168321929232892,6.5224685472209165,0.6028082766318628;16.229524026787836,12.591478240610577,1.322920073228589;12.970764342784419,18.65536421557303,1.3434681866174187;4.2350652733391785,16.318318509646364,0.20546233117458013;10.763400596276249,18.242900003947106,0.4838897726548663;12.297675679967547,18.853410809794852,1.0836690801201003;17.4097327960665,12.334787312800318,0.8541905481250764;7.944078362324256,10.555434978248396,1.529290533403409;3.3344525116871164,9.17892271587905,1.1034290731156866;6.514738122451004,18.320890880932446,0.9736422911160926;14.628587150477514,16.144182176336418,0.756046947173307;13.899185544461675,14.626048327529803,1.2347681500589291;16.136103786288714,7.318625911542378,0.9103181384036549;10.691446443717368,18.526613060270012,0.7666823910002124;16.15455411365768,18.368005488389922,1.2775504121336132;2.1479537170745244,15.388708160853495,0.991498796855725;16.32065985035735,7.636492040480931,0.47639915228472474;5.374233171362602,3.1595428830222936,0.7773105302956622;17.927626309663125,16.250140702827874,0.4031655221484124;2.1930949242280655,15.841155496658168,0.301304775892815;15.31524951268109,14.72024711361748,0.32518204141927176;8.575528822419372,9.194817408433696,0.808316346344633;12.05436715499842,12.459552462202113,0.2353296009413479;7.494231248180344,4.9753631513534655,0.2842811279103482;2.1055900665457803,14.3266773197425,0.2586318181628272;19.36214087058335,0.6462250241496643,0.2289905966591393;9.462355511339858,14.560379108218864,2.1352809356210165;1.6108730653802832,4.132165613236379,0.3895365487159021;17.22956250199664,8.756026768779313,1.6008486579757006;18.732695952956675,10.77923252923835,0.6939987198499351;6.723783683546392,17.521045132054873,1.2219562346857744;18.199708021704016,9.5299252615497,1.1738792913989289;14.879172128548669,5.636533871795024,0.4129473239149526;13.083341640331442,6.821571860320624,0.6581200305114557;12.963130184720107,19.02645839720991,0.23765604716065375;18.63177000642584,3.6588183077946965,0.8639982206136008;15.632503132611049,5.419022831900503,0.2379465377225203;19.524162565510267,9.704145409880827,0.31267281944689485;1.5334240403099377,6.704288095802679,1.3428705375062002"
