Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,7.107,14.618,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_1,6.836,15.866,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_2,5.049,13.056,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_3,7.424,13.344,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_4,6.010,14.500,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_5,7.402,15.519,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_6,4.607,13.865,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_7,6.127,13.590,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_8,4.990,15.944,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
0,drone_9,6.320,15.554,11.437,2.809,"1.909806632829853,3.9735901302972256,1.5049182137506567;11.004087499032838,11.815045183370305,0.2738802926239362;17.028046333712066,4.067928000309168,1.727348341588642;8.794051579039946,9.1462118489599,1.3776469666426512;1.7500993294579763,14.246230179196084,1.6287803091288064;14.445571049271361,16.940349473563437,0.4065289015219688;8.43965270089116,4.870998793767997,1.246750368397684;17.41029190543687,3.66590852827778,0.43529973413587353;1.6240903162041374,8.43175186350558,1.3480620919894657;12.497478722291879,15.58028283135081,1.2645252318370364;17.724441752473524,5.753518700424477,1.091546186606775;14.260463076506099,1.8829379636562258,0.8182027442357356;15.149872523412737,8.294262070960052,0.3361183022173291;9.081748700549525,12.75145781317542,0.4124434970002613;4.652674350041028,4.716485665783749,1.1485120637985125;18.31390543586519,18.91501719891238,0.6268540837735368;17.116460545795157,11.832046328849982,0.9281151979686829;12.887648721788045,8.100423385618464,0.26756094902446825;13.750375613732398,15.974747017035558,2.318358169647353;13.316504383202618,17.787136793574167,0.46147616448860496"
