Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,11.045,4.179,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_1,8.994,5.358,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_2,10.383,5.003,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_3,11.369,5.672,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_4,10.219,4.351,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_5,9.027,4.631,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_6,8.744,4.049,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_7,9.764,4.861,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_8,9.351,3.911,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
0,drone_9,8.760,3.331,4.684,11.992,"18.890512381864323,9.35886791413751,1.0565022022101516;13.418387640340592,11.467918385570488,1.3399751559794775;9.66321112976952,1.4974397970725504,0.4988337205600926;12.972780345188585,15.891123688200928,2.2549052792111755;10.576361578112028,2.942205814621495,0.741289018601871;7.129292185606316,5.417662042599404,0.3212284381574412;18.18950389034484,16.433062617695125,0.4262535588918004;15.22654205759,6.283332000872347,1.2260087565771887;4.343995945131911,7.137344802778238,2.001683801714269;11.062457502708044,9.722630207366397,2.4413989735805184;17.24654846493522,8.35745004429634,1.3152089325522422;10.175427722053342,9.338380831574312,1.0601277102881292;12.358353033083322,18.897832079228866,0.31574631868658987;12.89981633509149,16.211765961602637,1.2064745348478083;17.538348318157176,13.59230143702065,1.601293583245012;6.807638302229065,10.418422092528276,0.38934455573279075;2.51196718393912,2.896553695904768,0.9467247769289214;3.367231759355804,6.741517566487009,0.6964585471102734;1.6563194706327966,3.5159235055933467,0.7398478777511223;6.197751294032007,9.265095940686047,0.3173638906347065;0.887349459550139,3.8400026222898633,0.6807272608022383;12.975196721573203,13.046107285144506,0.35474004105530244;7.387958218858582,18.536300075990287,1.1581252520726517;8.11180967690613,9.061695568422529,0.7305068384936773"
