Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,6.154,15.055,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_1,7.764,14.893,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_2,6.058,15.717,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_3,6.947,13.987,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_4,5.445,14.793,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_5,6.974,13.364,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_6,6.967,15.043,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_7,8.268,13.373,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_8,8.085,14.179,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
0,drone_9,6.760,15.749,15.334,10.261,"5.934002477058369,8.968226042171416,0.2670730779650287;6.813470852598762,5.271663826852789,1.227783409066126;11.747684321839946,17.077669303637087,1.5599558393858417;0.6134160109235856,0.7409157849953368,0.4618369174859722;7.419119039435143,8.613263893779612,0.31829818565400236;2.617724712399947,17.96963109020295,1.565195766772328;12.294292094498543,6.829388938214164,1.2567486841221025;9.690194289733835,15.569085855024472,0.28286834818894224;16.53936889044578,13.06264915783192,0.8618087002691841;4.594258473740375,7.907104384147207,2.0907162186502126;19.366718529556792,8.196639425729785,0.3462615306429182;4.666170589034193,11.88888134852805,2.274358217552935;2.8503056138686462,16.169661202707186,0.6064280178036797;5.970045910371948,17.49590016722432,1.172340863449941;13.098388857072631,2.571014743938675,1.9102698953028254;10.302766427185926,17.68626119134503,1.120170854505232;14.807986008597215,15.413805475075137,2.2161157830119547;13.787887474628072,15.296215456558196,1.2401917461283545;3.145581643892199,11.683302727935612,0.30511349112408354;9.612375058167956,16.328266808273,0.35417282881405254;12.163180061322446,11.104463511548557,0.27032707886242924;13.078342890623057,4.0722723423437275,0.9826561492071275;13.671438433969536,18.099056864111702,0.8037017057767724;11.312736164670843,10.77420747687078,0.38932320085042726;2.950026598955896,3.3315129401641377,1.5189206545587985;12.324355264726943,11.989513616743784,1.3930042465994728"
