Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.372,3.847,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_1,13.339,5.922,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_2,18.969,11.347,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_3,13.320,16.596,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_4,3.477,3.717,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_5,13.681,5.572,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_6,12.984,14.318,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_7,15.160,14.470,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_8,14.205,14.371,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
0,drone_9,15.941,15.675,3.313,16.447,"8.831303337152539,11.864108013876123,0.8680709901850192;14.776693426604645,1.9194528323465465,0.6841332037480875;17.928480441199586,3.965215042321735,2.0385082330017696;9.92844472433325,15.132967646380068,1.1207228745738225;7.773784928799312,9.778600517099589,0.3245627206502871;14.498323714738723,11.805006444892378,0.8281960017860295;14.652926347256555,10.756841520661313,1.0472268450478803;5.789891116307999,4.714883369999214,1.9616219863152482;19.259104461295575,18.90654522237114,0.39648239989953915;6.4407294015178636,6.52084160663053,0.427457462775217;6.484588599378942,11.045853285521643,0.8796154637239568;17.550929088831612,8.783198996203149,0.7669561469505513;7.631120536427148,4.543047659974154,0.30970616909250953;16.116226116828972,5.799551558758467,0.4762579933141654;0.4208925418245214,1.6238876457496791,0.2169817634360239;19.250373154170664,9.99851415250761,0.2260003057419258;6.719245192867658,13.2149689305358,2.359135065373719;16.388366771028913,8.234441775499551,0.24446204623487267;3.781716144279982,12.442649116734344,0.36183326712892516;8.215654187445693,16.53952268503665,0.7853743448977206;9.910613150785114,7.476513026381103,2.3299099374380514;6.056069293963642,8.513877356923285,0.21658162274062007;18.37801835655683,1.2439348666677104,0.28394005854043847;12.642494043456843,9.697495863218911,0.47154803521986255;11.40426263398162,10.176409957759466,0.7553407741202989;13.68542558407119,7.872777795546398,1.16307275009967;10.732176855048298,1.98833858278384,0.25513550309360034;13.47497817506744,12.78339709570882,0.8595626624838747;17.134405903346998,14.934443001334056,0.8060974829635976;10.152347310895728,2.6603577440096795,2.270169294232448;3.7069839909987725,7.18620246415883,0.22655339140027855;4.596900338429116,3.9923632725917226,0.8816834320029037;16.14402623639367,17.282746584078687,1.1886099934099645;7.6613303123470455,13.063505473296022,0.846063941567133;14.138152774249148,5.760570927550347,0.22000086271241434;13.150572775917933,7.7436685038402,0.6821675080367458"
