Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,18.827,10.648,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_1,16.485,2.297,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_2,16.969,11.965,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_3,5.984,17.082,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_4,18.661,17.306,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_5,3.713,11.382,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_6,17.569,6.577,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_7,5.073,18.609,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_8,2.214,15.601,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
0,drone_9,15.897,2.504,7.801,2.847,"13.945230315004126,10.746640861150299,1.2962392403655698;9.609083925094136,11.878037660178128,1.176164095895679;2.652697167783043,14.668469876661922,0.47962180919955527;10.655649753866074,15.161803791368301,0.4864272325319015;14.776728177232284,8.57443117946178,0.23680861973120815;6.467006405667931,13.32166420655346,1.0829922822330027;15.011698993977928,12.703377804894894,1.8510374410165933;1.2436259752812153,16.630050628877687,1.1771699203585255;13.403842444968282,6.063043462974496,0.38987532756082444;18.491236923839974,4.629885085087941,0.6530850301868082;14.958337157910265,13.662386850280312,0.4451981439133886;5.694769979367902,7.3323961692148245,0.3965643776756662;9.757064874210496,10.307563173361597,1.2276642106314846;4.824641661936993,11.167959408748763,0.35501028368371057;19.048020975562853,15.38027815607723,0.44836148961463457;16.812647174861922,16.283751056408015,0.759606429555828;11.54648129164661,16.210881934420755,1.9008748271526792;12.221104797629263,12.265329424620685,0.20328785438641678;10.510989151084082,15.859264543100597,2.4303038644092476;11.290818644317902,12.531825857819944,0.26755027467401954;16.298464611996362,4.1413333630021825,0.6290809582842557;7.0426976726717445,9.880646682690566,1.3391034894563982;9.883274504442467,15.983322166056311,1.7659089751385988;18.040275056080745,10.224574563176663,0.4232762300992522;1.1139870674735215,3.8682272925414027,1.0166112646226;4.0815693557702275,19.32060124955475,0.24828044863759058;16.59507258856091,7.652329021352306,0.36927262588853915;1.3213582658124423,2.4887122796709766,0.784199458414842;3.8258416489114677,9.6642639100361,0.295973349295545;6.957744797208402,18.058315993123514,0.34860104487820315;9.03868636810962,12.044586391294052,0.38390619642476537;2.2875878133671077,3.0014594948566327,2.0833553448091555;3.5088122694411776,4.522148416644606,2.1196057378398026;11.017993982601483,12.201493218807434,0.4601252225575484;15.908718228234616,14.569888908187949,1.2450062660493417;13.411222454665278,15.212814769542705,0.340901801472843;19.155471865205573,0.5817226441257233,0.29044075812838144;7.665381025517231,10.490045553539797,2.1298698641071043"
