Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,14.735,16.441,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_1,13.582,16.679,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_2,14.187,15.409,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_3,14.255,16.960,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_4,12.857,14.915,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_5,14.498,17.623,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_6,15.167,17.781,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_7,13.345,15.431,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_8,13.921,16.078,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
0,drone_9,15.137,16.909,11.181,2.535,"5.004866143343024,7.057721160671008,0.442594886704923;5.453260172878375,10.779242136511337,1.9421653981926479;2.12851263011368,5.087235698672053,1.206168233935616;2.35909575836685,12.420801717448896,1.3389696333492367;8.992508217254866,12.78936152345619,0.24918294713869305;7.22505512500197,11.62447560352364,1.7864617108723075;5.1287529965801175,15.490872051521805,0.46972818579760783;5.186591180317161,2.990019070003619,1.8678612036161435;7.56831849531554,9.33133562354038,1.5481619374227984;4.57452583247834,0.40468847052455226,0.21038159500207276;5.627034576750655,2.6174241427232054,1.3087114852092985;3.8065572321648924,8.92575107346143,1.2981194497667383;2.0281530741293916,4.204770716648106,1.851336737564178;5.518088311985112,10.408751972017226,0.4521963808623676;7.421328504970682,19.435587529500065,0.21169394530212232;11.711775462011882,16.59658710512728,1.5416560757105051;14.162268295876865,18.567992537184878,0.32122079046173485;6.458498219841946,4.980657456874134,2.455130007962286;17.644476371169677,3.390940126297882,0.2530830796912364;15.926434921924955,10.93057030904344,1.23714242283046;15.777219831862269,14.433359297066753,1.2510662165416417;10.498276623665186,12.765589934346409,0.6352785063943968;9.804970421000192,14.4190440836006,0.8793022678777024;1.6007719169069126,1.6004883240684884,1.0407534397579017;12.481165319172234,13.054777856923376,1.1773994558846947;3.1310102401900712,1.1991752418153059,0.29448317710914623;11.597155927823062,16.750013704376087,0.36449377443584985;7.6952915368192105,14.490077397267756,0.865306072110686;9.181764523924539,14.578394402474332,0.42536780283513614;14.505960767978177,7.667715923222005,1.1696254700044522;4.905413870947427,1.6941884530459737,1.2705479298604174;2.2477598258627336,10.49081884941389,0.8641132696833114;7.397969368381446,5.769569816236301,1.0798959424320802"
