Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,7.6840,8.8401,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_1,8.9654,7.8218,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_2,6.9362,8.2456,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_3,6.4028,7.2498,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_4,7.9993,7.8035,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_5,6.7928,10.1297,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_6,6.2413,8.1148,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_7,8.6654,8.7408,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_8,7.8989,9.4715,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
0,drone_9,7.8264,7.4234,17.9903,16.5163,"6.425,18.602,1.085;10.681,13.414,0.263;15.994,5.560,2.106;12.511,15.241,0.681;16.517,9.617,1.320;3.385,9.323,0.690;3.792,10.770,1.223;1.964,16.425,0.348;18.923,4.707,0.437;6.325,3.087,1.362;13.933,11.649,0.453;2.921,2.707,0.387;0.333,2.552,0.212;2.635,0.388,0.309;13.253,18.922,0.912;9.839,2.251,1.747;13.838,6.425,1.196;12.842,5.399,0.272;13.875,11.019,2.447;18.776,14.211,0.249;7.767,16.147,1.131;3.647,16.054,1.794;6.722,17.317,0.450;14.646,7.492,0.615;18.699,7.021,0.930;8.174,0.964,1.363;16.139,9.610,2.244;14.147,14.728,0.422;5.616,15.631,0.353;1.357,5.087,1.227;1.559,11.573,1.669;8.367,3.806,1.218;5.032,18.326,1.898;2.628,16.370,1.046;6.437,18.808,1.248;11.299,13.152,0.245;6.174,1.809,0.264;12.326,10.651,1.979;5.303,4.266,2.237;7.404,11.883,0.664;17.673,11.156,2.068"
