Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,5.6622,14.7293,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_1,5.4398,13.4695,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_2,5.6662,12.8740,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_3,3.2028,12.8756,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_4,4.6472,12.8086,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_5,5.0420,14.0630,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_6,4.8505,11.8428,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_7,4.2551,11.8372,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_8,3.3100,12.4226,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
0,drone_9,5.5023,12.4922,11.2039,16.3181,"15.083,3.874,0.807;10.302,1.818,2.268;19.586,2.744,0.388;5.981,1.859,1.761;3.343,17.526,1.958;13.965,1.361,0.298;13.367,9.278,1.985;3.948,3.745,2.092;10.140,10.099,2.478;9.156,4.459,1.118;15.088,5.015,0.475;18.411,6.649,0.959;8.029,10.148,1.000;15.444,11.273,0.744;13.760,10.502,2.187;7.930,2.212,0.339;17.693,7.541,0.849;14.437,7.663,0.802;4.693,4.463,1.559;1.480,1.491,1.030;7.419,8.406,1.287;19.106,5.848,1.051;16.055,8.397,1.356;8.238,5.008,0.954;5.981,6.082,2.402;17.178,14.780,1.226;11.835,6.429,1.202;19.105,12.958,0.479;1.023,17.074,1.013;17.138,4.130,0.412;16.381,4.104,0.279;16.156,13.378,0.418"
