Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,9.7498,17.3933,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_1,11.5685,17.5911,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_2,9.4926,18.3708,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_3,10.8447,16.9352,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_4,10.1917,15.8333,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_5,11.9302,18.7169,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_6,9.2134,18.6021,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_7,9.5199,15.9135,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_8,10.8858,18.0576,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
0,drone_9,11.8539,16.5255,10.9560,5.7170,"11.182,1.709,1.893;18.164,7.458,1.308;4.779,9.194,0.457;1.223,12.212,1.363;12.245,1.060,1.377;4.550,6.844,0.956;1.817,13.985,0.408;16.018,4.668,0.340;15.534,16.555,0.235;3.302,3.265,1.764;16.576,13.743,0.753;19.733,10.464,0.499;14.646,15.313,1.169;1.540,14.496,0.429;18.325,3.214,0.378;15.293,13.889,1.287;7.473,9.611,1.043;8.064,0.907,0.923;6.589,8.113,2.136;16.600,17.530,0.311;2.939,13.224,0.296;12.941,9.788,0.393;17.180,3.349,1.685;10.924,15.155,0.298;15.409,3.202,1.209;7.801,12.250,0.620;2.084,12.973,1.007;6.163,12.836,1.886;6.307,15.096,1.107;14.718,1.000,0.880;8.252,8.042,0.485;3.576,4.569,1.132;11.752,10.992,1.120;17.796,1.554,1.035;3.822,10.219,0.241;6.296,16.198,1.327;8.657,9.968,1.850;10.476,13.193,2.029;5.025,10.306,0.899;19.343,18.386,0.441;4.290,14.776,0.322;5.029,16.098,1.538;15.956,15.640,1.104;14.119,3.082,0.718;8.363,2.072,2.309"
