Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,2.8099,14.6355,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_1,2.5649,13.5002,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_2,3.9391,14.4945,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_3,3.1760,16.0437,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_4,3.9816,14.9904,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_5,2.2201,13.6718,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_6,3.5701,14.8963,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_7,1.6962,16.0393,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_8,2.5052,16.0473,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
0,drone_9,3.8392,15.8731,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_0,2.9099,14.5355,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_1,2.6649,13.4002,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_2,4.0391,14.3945,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_3,3.2760,15.9437,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_4,4.0816,14.8904,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_5,2.3201,13.5718,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_6,3.6701,14.7963,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_7,1.7962,15.9393,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_8,2.6052,15.9473,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
1,drone_9,3.9392,15.7731,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
2,drone_0,3.0405,14.4050,12.8132,10.4240,"0.869,8.170,0.315;9.963,15.192,1.212;14.889,2.518,0.892;15.347,5.450,1.320;5.099,11.133,0.216;12.669,4.952,0.972;5.564,6.153,0.902;11.014,5.006,0.684;9.836,13.171,2.005;15.620,2.472,1.007;7.674,3.411,1.309;14.333,7.308,0.972;0.775,8.890,1.364;19.665,12.348,0.409;9.481,12.838,1.712;7.619,6.166,0.692;12.179,6.529,0.487;0.296,15.796,0.372;1.019,10.964,0.260;17.992,8.955,1.855;4.208,1.513,1.837;5.027,11.009,1.250;9.448,9.569,0.280;16.775,11.350,0.454;9.425,10.351,1.155;5.897,12.745,0.448;18.251,16.099,0.818;14.071,2.330,2.353;18.929,3.621,2.095;9.851,1.276,0.457;5.981,12.782,0.416;12.569,15.731,0.227;17.900,6.797,0.264;9.383,2.392,1.762;19.165,10.376,1.194;16.851,12.351,2.061;9.662,18.986,0.265;3.646,18.285,1.364;7.767,8.883,1.615"
