Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,1.4780,8.8948,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_1,15.4578,17.4950,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_2,1.2677,9.6812,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_3,9.2774,11.4478,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_4,10.0526,18.9109,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_5,12.5013,16.3978,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_6,1.1282,8.5031,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_7,7.2661,4.3189,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_8,17.5059,12.4377,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
0,drone_9,7.9482,5.1293,8.9120,11.7534,"7.534,16.861,1.354;13.465,9.411,0.771;7.695,7.538,1.799;12.989,12.874,1.629;1.713,17.239,0.465;2.628,4.301,0.440;11.097,17.532,0.644;11.906,5.243,1.352;8.746,1.940,0.467;8.907,17.303,0.238;14.809,16.433,0.986;17.098,18.930,0.363;3.188,16.512,0.404;1.425,11.905,1.844;14.200,10.108,1.276;12.104,4.141,2.213;13.149,18.205,1.385;2.658,17.910,2.019;18.354,16.817,1.391;5.258,19.090,1.329;9.268,4.097,0.255;5.715,12.289,0.819;1.532,1.649,1.998;7.328,3.342,0.291;13.335,8.053,0.728;6.284,1.736,1.780;15.168,1.324,0.324;6.258,9.377,0.492;17.965,17.845,0.341;3.399,11.406,0.771;18.076,17.010,1.216;13.685,10.658,2.158;16.002,4.639,2.288"
