Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,5.2919,10.9442,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_1,10.7165,6.5264,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_2,9.8966,7.1162,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_3,16.9505,4.3624,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_4,1.6304,14.9655,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_5,16.8304,7.4150,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_6,4.0684,16.4270,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_7,13.1953,2.9500,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_8,1.1048,5.8441,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
0,drone_9,7.3470,18.5526,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_0,5.3308,10.9725,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_1,-100.0000,-100.0000,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_2,-100.0000,-100.0000,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_3,16.9205,4.4530,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_4,1.7304,15.0108,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_5,16.8303,7.4819,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_6,4.1122,16.4401,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_7,13.2696,2.9694,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_8,1.2048,5.8601,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
1,drone_9,7.4470,18.5209,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
2,drone_0,5.3963,11.0411,17.0000,17.0000,"9.972,7.318,1.061;7.014,7.455,1.135;11.094,12.609,1.122;7.061,14.580,1.104;8.264,7.940,1.383;7.039,10.337,1.074;9.992,9.302,1.117"
