Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,2.4861,2.9578,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_1,2.8058,3.9228,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_2,3.9135,2.4248,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_3,4.6664,3.0828,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_4,3.7072,4.1134,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_5,4.7732,2.2583,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_6,4.9627,3.8571,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_7,2.1984,4.5593,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_8,4.9062,4.9107,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
0,drone_9,2.1096,2.2132,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_0,2.5819,3.0250,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_1,2.8580,3.9942,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_2,4.0011,2.5075,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_3,4.7574,3.1828,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_4,3.7524,4.2134,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_5,4.8732,2.3530,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_6,5.0301,3.9571,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_7,2.2669,4.6593,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_8,4.9630,5.0107,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
1,drone_9,2.1827,2.2831,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
2,drone_0,2.7561,3.1102,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
2,drone_1,2.9521,4.1198,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
2,drone_2,4.1558,2.6273,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
2,drone_3,4.9027,3.3201,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
2,drone_4,3.8109,4.3525,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
2,drone_5,5.0328,2.4734,17.0000,17.0000,"6.165,8.449,0.507;8.806,13.900,1.491;14.506,11.057,1.275;14.134,8.333,1.076;5.342,9.356,1.479;7.875,6.045,1.223;13.442,10.356,1.430"
