Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,12.766,3.351,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_1,11.387,4.144,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_2,11.239,2.990,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_3,12.117,3.791,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_4,10.886,3.510,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_5,12.847,4.788,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_6,11.988,5.149,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_7,11.972,3.206,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_8,10.322,2.999,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
0,drone_9,9.992,3.742,11.328,17.801,"12.809583177169173,10.74997911392228,1.5100717423309717;3.9256824531132755,3.28045453946846,1.2609529568701205;3.591576235992601,15.83052850021032,1.3054903868796424;1.3981324682815248,9.00199807337333,0.36857252136809104;9.428039300408996,5.055821199628452,0.7699904827940357;15.535059900843724,4.622906756327013,1.133748105002494;14.446408907367939,3.8903148737026365,1.0294448816983497;4.983302528010557,15.33911006262984,0.48487499642960724;5.105656943605261,3.3510069094176687,0.32533453586491623;1.5818410346009824,17.91526111376027,1.0090946458976655;13.70867543441273,1.5322212164056228,0.26569816639321103;2.9222802865737103,3.2598599676027447,1.5214786656898145;5.8528529532753435,10.993730090899597,2.024065558255539;8.280821850894307,7.595254008789734,0.40489206722370297;14.236804219500812,6.172633750202783,1.2505289381622755;3.2370873752382265,14.803497169394163,2.385867999837594;6.844920321030682,14.2916363117246,1.0991070571497146;5.959820272001833,13.087938620287488,1.1153669853752928;1.743840349786515,16.487687764117524,0.2708695660002577;15.053232215760325,7.402999143610099,1.3072677164500373;16.80154931126318,3.7995675054782607,0.950544803723383;1.5525122624437808,5.747170138943121,0.44431463774787394;13.974391836674265,11.80921235036717,0.8423614440328404;5.093807925274379,6.381089693843654,0.6575367419662462;15.854407887421416,9.635536686708486,1.3131643174971142;1.291694290105812,13.19259396948137,0.23485571621511442;9.903686896109225,6.605154786340359,2.380022475166199;5.75321816879952,18.126127176074984,0.21718162310252717;16.658312302791252,8.054396135138619,2.318534940089785;2.216416461257619,2.1987747910977733,0.2684320109473408;13.518693822123968,9.660393279446382,0.49320998840738195;2.568171656286425,10.904230050637636,0.9749990367769896;9.213633144024096,8.190482540646146,2.3051679003927554"
