Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,14.1867,14.3051,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_1,17.7728,17.7031,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_2,1.1859,4.1778,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_3,18.6201,10.0820,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_4,3.0507,14.0269,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_5,12.3481,18.4932,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_6,13.4594,2.5803,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_7,3.3927,18.6538,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_8,12.3944,3.3447,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
0,drone_9,12.8417,16.0414,13.1780,14.1923,"2.535,9.536,2.399;11.665,8.057,2.400;16.332,4.668,0.285;10.759,10.432,1.688;8.984,15.380,1.622;18.723,11.126,0.421;17.211,15.109,2.047;9.529,10.823,1.055;1.794,6.800,1.608;15.593,10.138,1.327;14.306,17.908,0.744;7.153,18.651,0.925;6.733,8.237,0.414;16.185,1.080,1.326;14.126,18.578,0.476;19.690,8.827,0.446;19.859,12.500,0.241;17.173,6.280,1.306;7.400,17.579,1.997;0.285,15.385,0.302;17.421,12.993,0.294;10.734,4.354,0.401;4.689,17.590,0.355;19.625,2.476,0.205;11.986,17.204,0.473;12.130,5.298,0.975;9.637,12.570,0.245;10.783,5.393,1.286;7.699,1.082,0.324;7.685,6.919,2.242;17.045,4.658,0.276;14.675,11.747,0.486;7.083,13.045,0.383;1.775,18.662,1.145;17.507,11.975,1.184;6.522,16.029,0.374;15.176,7.929,2.308"
