Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,16.1079,18.4515,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_1,14.7712,15.8438,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_2,16.6404,17.0050,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_3,15.5269,16.2649,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_4,16.2717,16.1229,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_5,16.6891,15.7054,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_6,16.9969,16.6808,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_7,16.1159,16.9576,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_8,15.6266,17.7942,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
0,drone_9,15.3954,17.1396,15.9039,2.0968,"15.850,11.589,1.067;13.842,18.194,0.703;18.265,12.040,2.398;1.671,1.973,2.010;3.336,15.297,0.469;5.196,10.516,0.429;4.968,16.391,1.141;2.312,12.685,1.383;2.005,18.674,0.938;2.419,15.214,0.236;2.067,13.798,0.839;12.761,16.126,0.956;1.323,14.406,0.239;9.643,17.782,0.396;7.361,15.830,1.928;3.135,0.232,0.220;12.853,4.819,1.061;5.980,3.375,2.112;7.107,7.482,0.267;7.770,15.891,1.540;3.723,8.062,1.220;4.690,8.217,1.660;0.453,10.728,0.372;4.290,17.759,1.060;1.048,8.892,1.276;4.343,17.452,1.851;4.765,2.387,1.377;1.026,16.738,0.779;14.601,19.128,0.247;14.138,8.955,0.390;9.660,4.673,0.346;3.089,8.159,1.104;15.413,11.949,0.902;13.534,16.504,0.292;11.463,18.187,0.988;12.990,2.507,0.411;11.415,8.088,1.390;16.640,9.837,1.926;10.503,14.820,1.122;12.500,5.072,1.685;1.459,5.312,0.468;3.187,5.169,0.429;15.419,12.243,1.145;13.949,11.677,0.400;7.780,7.649,0.320;8.051,13.057,1.069"
