Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,12.0469,5.6621,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_1,13.4376,14.5173,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_2,12.3819,12.3227,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_3,11.2280,1.0629,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_4,7.4037,7.9329,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_5,1.9852,18.2067,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_6,10.9322,7.6255,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_7,11.6522,11.2362,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_8,8.0385,2.7290,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
0,drone_9,5.9366,5.5592,15.6248,9.5766,"6.626,1.920,0.320;1.603,10.931,1.024;17.397,6.028,1.528;17.784,4.259,2.107;12.103,18.931,0.233;16.778,16.703,0.223;4.278,0.963,0.284;1.753,16.006,1.625;15.871,2.733,2.497;8.069,18.197,0.264;10.400,11.886,0.282;19.011,6.808,0.325;1.017,19.189,0.442;5.722,14.792,0.397;2.350,15.934,1.077;18.931,5.305,0.717;3.735,4.140,0.396;9.320,18.222,0.358;5.979,15.088,0.624;8.616,10.376,0.934;16.775,17.041,2.005;4.042,5.146,0.332;11.395,11.963,0.295;17.707,14.145,1.892;6.317,1.860,1.570;4.911,18.169,1.789;6.075,14.669,0.227;11.174,2.867,0.451;7.671,15.541,1.104;1.301,6.930,1.235;7.534,14.447,0.238;11.629,8.966,0.384;6.459,10.253,0.496;12.077,16.195,0.422;9.121,15.089,2.233;11.390,2.711,0.708;6.763,3.043,0.902;0.642,2.151,0.430;1.222,15.518,1.790;3.906,10.581,0.249;5.718,16.280,0.479;16.470,18.419,0.894;0.603,18.049,0.338;13.865,6.529,0.456;3.044,3.265,0.348;12.513,3.941,0.422;3.776,16.722,0.846;4.786,11.032,1.286;6.778,0.743,0.623;0.658,12.169,0.292;13.075,6.636,1.186;1.527,11.566,1.376;7.755,5.270,0.438;15.650,16.161,1.248;14.362,13.467,1.124"
