Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.8613,4.6474,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_1,3.7105,2.7069,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_2,2.8797,2.0543,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_3,4.7711,2.1236,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_4,2.3825,4.1163,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_5,4.8361,4.1859,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_6,4.0509,3.4406,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_7,2.7202,3.0382,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_8,2.9196,4.8773,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
0,drone_9,3.3012,3.9859,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_0,3.9355,4.7474,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_1,3.8105,2.7884,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_2,2.9522,2.1177,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_3,4.8666,2.2099,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_4,2.4407,4.2163,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_5,4.9105,4.2474,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_6,4.1330,3.5406,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_7,2.8088,3.1170,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_8,2.9999,4.9629,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
1,drone_9,3.4012,4.0625,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_0,4.0669,4.8982,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_1,3.9766,2.8999,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_2,3.0903,2.2257,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_3,5.0261,2.3306,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_4,2.5271,4.3643,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_5,5.0314,4.3643,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_6,4.2710,3.6854,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_7,2.9746,3.2288,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_8,3.1363,5.1092,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_9,3.5767,4.1584,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_0,4.2089,5.0390,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_1,4.1537,2.9929,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
