Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.5157,2.1838,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_1,4.9516,3.2625,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_2,4.7486,4.6290,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_3,2.7388,3.4123,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_4,3.6824,4.8325,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_5,2.6269,4.7001,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_6,3.9474,3.7423,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_7,2.4795,2.5070,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_8,4.8870,2.2547,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
0,drone_9,3.6365,2.9769,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_0,3.5869,2.2370,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_1,5.0275,3.3625,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_2,4.8178,4.7084,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_3,2.8364,3.5091,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_4,3.7239,4.9325,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_5,2.6642,4.8001,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_6,4.0474,3.8257,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_7,2.5262,2.5994,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_8,4.9870,2.3514,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
1,drone_9,3.7365,3.0640,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_0,3.7254,2.3036,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_1,5.1704,3.5025,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_2,-100.0000,-100.0000,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_3,2.9984,3.6264,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_4,3.7811,5.0695,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_5,2.7136,4.9499,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_6,4.2160,3.9333,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_7,2.6457,2.7468,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_8,5.1495,2.4681,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
2,drone_9,3.9066,3.1693,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_0,3.9060,2.3881,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_1,5.3109,3.6448,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_3,3.1688,3.7310,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_4,3.8632,5.2360,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_5,2.7807,5.1383,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_6,4.3966,4.0191,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_7,2.7630,2.9088,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_8,5.3041,2.5950,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
3,drone_9,4.0808,3.2675,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_0,4.0861,2.4751,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_1,5.4513,3.7873,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_3,3.3458,3.8243,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_4,3.9558,5.4132,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_5,2.8420,5.3287,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_6,4.5851,4.0862,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_7,2.8786,3.0720,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_8,5.4608,2.7193,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
4,drone_9,4.2618,3.3525,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_0,4.2676,2.5591,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_1,5.5927,3.9287,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_3,3.5222,3.9185,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_4,4.0478,5.5908,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_5,2.8981,5.5206,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_6,4.7791,4.1345,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_7,2.9840,3.2420,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_8,5.6194,2.8411,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
5,drone_9,4.4477,3.4265,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
6,drone_0,4.4496,2.6419,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
6,drone_1,5.7366,4.0676,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
6,drone_3,3.6963,4.0169,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
6,drone_4,4.1393,5.7686,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
6,drone_5,2.9477,5.7144,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
